band,date,hour_utc,tx_sign,tx_grid,tx_lat,tx_lon,rx_sign,rx_grid,rx_lat,rx_lon,distance_km,n_spots,avg_snr,worked,score
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,W1CK-1,DM13,33.188,-117.292,1880.0,4,-23.5,True,44.48213975954993
14,2026-07-20,6,K4PQC,EM83,33.854,-83.458,W4KEL,FM08,38.146,-78.542,650.0,1,-11.0,True,24.119344034947243
14,2026-07-20,6,M0SAS,IO82,52.479,-3.042,WA2TP,FN30,40.854,-73.042,5275.0,6,-10.166666666666666,True,36.13536004688641
14,2026-07-20,6,K4RCC,EM85,35.354,-83.208,K5XL,EM12,32.646,-97.125,1317.0,1,-30.0,True,35.35146122191794
14,2026-07-20,6,VA7XMH,CN88,48.646,-123.375,VE6FT,DO24,54.021,-115.125,827.0,2,-18.0,True,34.24355596594524
14,2026-07-20,6,VK3QN,QF22,-37.521,144.958,K3FEF,FN21,41.312,-74.958,16591.0,6,-6.666666666666667,True,1.2206585981095477
14,2026-07-20,6,PA1WBU,JO21,51.479,4.958,IU0OQM,JN62,42.479,12.958,1169.0,1,-18.0,True,77.45393202440584
14,2026-07-20,6,N5JUJ,EM32,32.188,-92.542,W8EDU,EN91,41.521,-81.625,1419.0,5,-25.4,True,37.684225873591224
14,2026-07-20,6,AK1WI,FN42,42.479,-71.042,K6VZK,DM13,33.312,-116.875,4096.0,10,-2.9,True,39.244102253692844
14,2026-07-20,6,K4PQC,EM83,33.854,-83.458,KC2DAC,FN02,42.896,-78.458,1095.0,1,-28.0,True,32.45471713486352
14,2026-07-20,6,G3JKF,JO00,50.771,0.125,VK7JJ,QE38,-41.271,146.958,17274.0,2,-17.5,True,49.958436471363946
14,2026-07-20,6,AC6NN,FM18,38.854,-77.292,VO1CBL,GN37,47.562,-53.542,2143.0,2,-4.0,True,52.251838908025086
14,2026-07-20,6,KF0SCE,EN42,42.479,-91.042,VE6PDQ,DO34,54.729,-113.042,2099.0,2,-10.0,True,51.62709854583489
14,2026-07-20,6,WA6RSV,DM14,34.479,-117.042,WA9WTK,FN42,42.438,-71.542,4010.0,1,-17.0,True,40.80407735193942
14,2026-07-20,6,DC6ZK,JO52,52.479,10.958,LA3FY/2,JP40,60.396,8.458,893.0,6,-9.833333333333334,True,72.74876426463165
14,2026-07-20,6,PA1WBU,JO21,51.479,4.958,OZ7IT,JO65,55.229,12.292,640.0,1,-9.0,True,68.1591548608087
14,2026-07-20,6,DL1FX,JN49,49.729,8.542,PE1RZM,JO33,53.312,6.958,413.0,2,-18.5,True,64.28885964893713
14,2026-07-20,6,K7DB,DN17,47.688,-117.375,VE6KDX,DO34,54.896,-112.292,875.0,3,2.333333333333333,True,34.363087709330614
14,2026-07-20,6,OK2SAM,JN99,49.479,18.958,PA5BS,JO21,51.938,4.542,1049.0,2,-27.5,True,75.92383526415185
14,2026-07-20,6,G3JKF,JO00,50.771,0.125,M9PSY-1,IO86,56.021,-3.375,628.0,1,-5.0,True,65.24833904524937
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,VE3IIM,EN94,44.146,-81.042,6909.0,1,-20.0,True,23.72760652844813
14,2026-07-20,6,KM4TTS,EM80,30.562,-83.875,DK4RW/1,JO40,50.188,9.208,7655.0,14,-18.642857142857142,True,16.209158988460068
14,2026-07-20,6,M5SSB,IO91,51.646,-0.792,N8GA,EN80,40.188,-83.625,6181.0,3,-19.0,True,22.75130437494405
14,2026-07-20,6,EA1LC,IN53,43.354,-8.458,PE0MJX,JO31,51.354,6.042,1404.0,6,-12.666666666666666,True,78.49623594170801
14,2026-07-20,6,KM4TTS,EM80,30.562,-83.875,KPH,CM88,38.104,-122.958,3657.0,4,-27.5,True,45.461578131891464
14,2026-07-20,6,W1TKO,FN42,42.479,-71.042,GM4DIJ,IO85,55.938,-3.292,4924.0,1,-25.0,True,44.145668193469945
14,2026-07-20,6,G4HSB,IO94,54.479,-1.042,N2EPE,FN13,43.062,-77.542,5459.0,10,-14.0,True,34.28502753979402
14,2026-07-20,6,PA0PPW,JO21,51.479,4.958,VY0ERC,ER60,80.062,-86.375,4427.0,2,-14.0,True,63.667726532930466
14,2026-07-20,6,DN3LEO,IQ61,71.479,-7.042,KM3T-3,FN42,42.812,-71.625,4658.0,1,-20.0,True,53.56686055852886
14,2026-07-20,6,OH6OHX,KP03,63.146,21.625,G7KZA,IO92,52.479,-1.042,1774.0,6,-16.5,True,88.08042055758469
14,2026-07-20,6,VK3MO,QF22,-37.521,144.958,K9TRV-2,EN82,42.354,-83.875,15875.0,6,-0.6666666666666666,True,1.8335547039811506
14,2026-07-20,6,KH6TZ,BL11,21.312,-157.792,K6VZK,DM13,33.312,-116.875,4226.0,1,-23.0,True,37.92318663805563
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,K1TE,FN41,41.479,-71.042,1097.0,4,-26.25,True,33.32576825867279
14,2026-07-20,6,DL1DUZ,JO61,51.062,13.625,I0UVN,JN61,41.479,13.125,1066.0,1,-25.0,True,76.51198686807759
14,2026-07-20,6,I1RFQ,JN35,45.479,6.958,G4ZFQ,IO90,50.729,-1.292,845.0,3,-14.333333333333334,True,70.0053522582586
14,2026-07-20,6,K3GLM,CN87,47.479,-123.042,KG5VWO,EM40,30.312,-90.792,3343.0,1,-25.0,True,49.975319602695755
14,2026-07-20,6,K4CFB,FM04,34.479,-79.042,KK7IXU,CN88,48.604,-122.875,3906.0,3,-21.33333333333333,True,43.28540927594094
14,2026-07-20,6,PA0MLC,JO31,51.938,6.042,CT7AJC,IN50,40.229,-8.458,1710.0,4,-8.5,True,83.45253786508789
14,2026-07-20,6,N5NBD,EM10,30.729,-96.292,KL5SE,BP54,64.771,-148.042,5164.0,1,-20.0,True,26.009880664198505
14,2026-07-20,6,PC4T,JO22,52.604,4.708,ON5KQ,JO10,50.771,3.208,229.0,1,-25.0,True,60.63587278126602
14,2026-07-20,6,AE0GQ,DM79,39.646,-104.792,WA3VPZ,FM19,39.562,-77.125,2361.0,2,-9.5,True,50.84359030197998
14,2026-07-20,6,M5SSB,IO91,51.646,-0.792,K9TRV-5,EN82,42.354,-83.875,6038.0,3,-15.666666666666666,True,24.664066454859
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,W1CK,DM13,33.188,-117.292,1880.0,6,-20.666666666666668,True,44.48213975954993
14,2026-07-20,6,G4HSB,IO94,54.479,-1.042,VK6QS,OF75,-34.312,115.125,14689.0,8,-23.875,True,49.89744773115881
14,2026-07-20,6,DG6RCH,JN68,48.646,12.625,OH3LMN/KIWI,KP11,61.521,23.875,1596.0,2,-5.5,True,86.46670072342458
14,2026-07-20,6,KB0EE,DN70,40.479,-105.042,N2YCH,FN31,41.271,-73.208,2663.0,2,-15.5,True,52.71742378308527
14,2026-07-20,6,G6CKK,JO01,51.396,0.458,OZ1BFM,JO66,56.062,12.125,925.0,1,-6.0,True,72.60275817541758
14,2026-07-20,6,DF6LT,JO43,53.562,9.708,HB9RYZ,JN47,47.021,8.542,732.0,3,-8.0,True,69.787863986182
14,2026-07-20,6,N5JUJ,EM32,32.188,-92.542,NI0K1,EN27,47.729,-95.208,1743.0,7,-23.0,True,43.59325924729754
14,2026-07-20,6,VE4GIL,EN19,49.812,-97.125,KFS/SE,CM87,37.396,-122.375,2439.0,2,-20.0,True,52.906444864187065
14,2026-07-20,6,ES2RR,KO29,59.271,24.625,OE3GBB/Q,JN87,47.688,16.042,1405.0,3,-12.666666666666666,True,83.49232278576184
14,2026-07-20,6,IZ2FER,JN45,45.396,9.208,DG1ELE,JO30,50.438,6.458,597.0,1,-17.0,True,67.16088196643635
14,2026-07-20,6,R2BIY,KO85,55.604,37.625,G4FKI,IO92,52.021,-0.458,2499.0,2,-22.5,True,97.06740191434679
14,2026-07-20,6,VE3IIM,EN94,44.146,-81.042,WESSEX,IO80,50.729,-2.625,5662.0,1,-21.0,True,29.187569602072568
14,2026-07-20,6,VK3MO,QF22,-37.521,144.958,N5TNL,EM25,35.354,-94.292,14799.0,6,-22.666666666666668,True,2.4986921321504805
14,2026-07-20,6,2E0DLC,IO93,53.479,-1.042,OE3GBB,JN87,47.688,16.042,1362.0,15,-7.8,True,80.65297863071292
14,2026-07-20,6,VE3OWV,FN15,45.438,-76.208,VK7CMV,QE29,-40.854,145.208,16654.0,2,-11.5,True,1.2976579913599473
14,2026-07-20,6,W4EO,FM29,39.479,-75.042,KD5QLM,EM13,33.062,-97.042,2091.0,1,-18.0,True,47.678728657210755
14,2026-07-20,6,DG6RCH,JN68,48.646,12.625,EA8/DF4UE,IL38,28.646,-13.875,3170.0,1,-23.0,True,90.98438511922296
14,2026-07-20,6,OZ7IT,JO65,55.229,12.292,GM4DIJ,IO85,55.938,-3.292,980.0,1,-5.0,True,73.21649640771406
14,2026-07-20,6,VE6EGN,DO23,53.188,-114.625,KFS/OMNI,CM87,37.396,-122.375,1855.0,1,-17.0,True,48.27273003964247
14,2026-07-20,6,W4VNA,EM84,34.104,-83.958,K6VZK,DM13,33.312,-116.875,3033.0,3,-18.33333333333333,True,50.95043094393342
14,2026-07-20,6,PI9ESA,JO22,52.229,4.458,W4KEL,FM08,38.146,-78.542,6321.0,3,-15.333333333333334,True,24.409925581056697
14,2026-07-20,6,GM8HHC,IO85,55.938,-3.208,EC1CS,IN62,42.354,-7.875,1547.0,1,-25.0,True,79.37539961336005
14,2026-07-20,6,KH2R,FN21,41.479,-75.042,VK3ARW,QF12,-37.104,143.458,16694.0,3,-4.0,True,1.3242654690251088
14,2026-07-20,6,KZ4IK,FM08,38.354,-78.208,AD0RS,DM79,39.729,-105.042,2314.0,1,-19.0,True,50.33180359478159
14,2026-07-20,6,OE9AZH,JN47,47.229,9.625,LA3FY/2,JP40,60.396,8.458,1466.0,1,-23.0,True,82.84860929106958
14,2026-07-20,6,KB7NIE,DM42,32.104,-110.792,KL7L,BP51,61.646,-149.292,4282.0,1,-16.0,True,42.56488249888425
14,2026-07-20,6,OZ1AAB,JO65,55.479,12.958,DL4ZBE,JO40,50.021,8.125,688.0,2,-11.0,True,69.34311653632876
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,DF9JL/QDX,JO31,51.438,6.542,736.0,2,-7.0,True,70.02519571985913
14,2026-07-20,6,PH1RAM,JO32,52.146,6.208,WESSEX,IO80,50.729,-2.625,632.0,1,-14.0,True,66.2430248999425
14,2026-07-20,6,YV4GE,FK50,10.479,-69.042,VE6JY,DO33,53.729,-112.792,6168.0,4,-22.25,True,7.931002193625761
14,2026-07-20,6,PA0PPW,JO21,51.479,4.958,SQ2WB,JO92,52.771,18.375,926.0,4,-18.25,True,73.70289542268522
14,2026-07-20,6,F6APU,JN38,48.562,7.708,PA0SLT/4,JO33,53.271,6.875,527.0,7,-3.571428571428572,True,65.96869541566679
14,2026-07-20,6,KE8MYP,EM79,39.354,-84.375,W7WKR-2,CN98,48.354,-120.708,3047.0,1,-24.0,True,53.256029710355804
14,2026-07-20,6,K4RCC,EM85,35.354,-83.208,WA2TP,FN30,40.854,-73.042,1078.0,2,-26.5,True,32.25063641725892
14,2026-07-20,6,KH6TZ,BL11,21.312,-157.792,VK3CMZ,QF13,-36.979,143.958,8900.0,2,-17.5,True,22.733872088891935
14,2026-07-20,6,NJ9Y,EN52,42.146,-88.125,N0QDS,EN35,45.021,-93.458,535.0,2,-17.0,True,23.81177327525643
14,2026-07-20,6,M0WMG,IO95,55.021,-1.625,DL0PTB,JO52,52.312,10.458,850.0,2,-6.5,True,70.82392194458433
14,2026-07-20,6,G7WCI,IO91,51.438,-0.208,G4HZX,IO91,51.438,-0.042,12.0,1,-31.0,True,56.50924576097304
14,2026-07-20,6,OE9AZH,JN47,47.229,9.625,DL6OW-MH,JO31,51.438,6.875,509.0,2,-10.0,True,65.86585804860286
14,2026-07-20,6,G8MCD,IO91,51.771,-0.292,DN9DSF,JN59,49.854,11.042,823.0,14,-8.071428571428571,True,70.49107281767452
14,2026-07-20,6,DJ5MO,JO32,52.438,6.875,VK5ARG,PF95,-34.188,138.625,15720.0,3,-21.666666666666668,True,49.9693864637375
14,2026-07-20,6,0K6GLQ,RP91,61.479,178.958,W1CK-1,DM13,33.188,-117.292,5435.0,1,-18.0,True,31.505801604224132
14,2026-07-20,6,W6VYC,CM87,37.479,-123.042,KX4AZ/T,EN74,44.104,-85.458,3219.0,3,-14.0,True,51.37288310683827
14,2026-07-20,6,K5ZAK,EL09,29.479,-99.042,K3GMQ,FN20,40.312,-75.042,2487.0,3,-9.666666666666666,True,50.81757580312757
14,2026-07-20,6,KE6VNI,EN72,42.479,-85.042,WA3VPZ,FM19,39.562,-77.125,739.0,12,-19.666666666666668,True,26.829486312814467
14,2026-07-20,6,HB9CCQ,JN47,47.396,8.458,I0UVN,JN61,41.479,13.125,755.0,3,0.0,True,70.43958708680282
14,2026-07-20,6,9A3ZI,JN86,46.396,16.458,HB9HXZ,JN47,47.438,8.125,643.0,2,-22.0,True,68.88783048277449
14,2026-07-20,6,F4MOU,JN33,43.479,6.958,F6KGL,JN18,48.854,2.542,687.0,17,-20.41176470588235,True,67.74677659232815
14,2026-07-20,6,KC3SDJ,EN90,40.521,-80.208,AC0G,EM38,38.938,-92.125,1033.0,5,-13.6,True,31.434483736233876
14,2026-07-20,6,G8LIK,IO93,53.479,-1.042,CT7AJC,IN50,40.229,-8.458,1576.0,1,-15.0,True,79.83862761813172
14,2026-07-20,6,OH6OHX,KP03,63.146,21.625,PE1RZM,JO33,53.312,6.958,1383.0,6,-20.0,True,82.22727543798788
14,2026-07-20,6,IZ1MHY,JN54,44.104,10.042,HB9VQQ/KE,JN47,47.312,8.875,368.0,1,-10.0,True,63.86352787795082
14,2026-07-20,6,NF6S,CM97,37.479,-121.042,N8VIM,FN42,42.688,-71.542,4190.0,2,-29.5,True,38.102585351931026
14,2026-07-20,6,F1JSC,JN03,43.188,0.542,OE6PWD,JN77,47.062,15.458,1245.0,1,-24.0,True,78.5250427095701
14,2026-07-20,6,DL0T,JN58,48.479,10.958,PB2GT,JO22,52.146,5.458,564.0,2,-19.5,True,66.76717324277082
14,2026-07-20,6,M6XOF,IO91,51.479,-1.042,K9TRV,EN82,42.354,-83.875,6030.0,2,-26.5,True,24.603046473623166
14,2026-07-20,6,AE5HO,EM13,33.021,-97.042,WA2TP,FN30,40.854,-73.042,2295.0,4,-18.25,True,49.88745003168807
14,2026-07-20,6,G0TCD,IO91,51.979,-0.208,LX1LC,JN39,49.646,6.375,530.0,1,8.0,True,64.91265074419344
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,KD7HGL,CN87,47.771,-122.375,2704.0,3,-15.0,True,52.89908345352294
14,2026-07-20,6,K7CMI,DN57,47.479,-109.042,VE7YIO,CN89,49.271,-122.958,1045.0,4,-27.0,True,35.78550119617928
14,2026-07-20,6,KB0WJQ,EN35,45.146,-93.625,HB9VQQ/RL,JN47,47.312,8.875,7263.0,1,-29.0,True,17.746036853211823
14,2026-07-20,6,PB2GT,JO22,52.146,5.458,VK5ARG,PF95,-34.188,138.625,15820.0,3,-12.666666666666666,True,49.96756351592053
14,2026-07-20,6,G8ORM,IO93,53.854,-1.792,WA2N,EM85,35.479,-83.042,6360.0,1,-19.0,True,20.453224460622767
14,2026-07-20,6,SR8RJS,KN09,49.729,21.542,DD5XX,JN48,48.771,9.292,894.0,2,-12.0,True,73.77568754786068
14,2026-07-20,6,K6VDU,CM98,38.438,-121.375,N2YCH,FN31,41.271,-73.208,4071.0,6,-11.333333333333334,True,40.09858868221984
14,2026-07-20,6,LY3AZ,KO25,55.479,24.958,SA6BSS/HL,JO68,58.104,13.542,753.0,7,-3.7142857142857135,True,71.65542057657785
14,2026-07-20,6,OZ8WSP,JO57,57.479,10.958,ON5KQ,JO10,50.771,3.208,900.0,2,-4.5,True,72.34162051814327
14,2026-07-20,6,K4CFB,FM04,34.479,-79.042,G4ZFQ,IO90,50.729,-1.292,6305.0,1,-28.0,True,20.766307668630716
14,2026-07-20,6,W6EXT,CM87,37.354,-122.125,KC1USE,FN43,43.812,-70.208,4370.0,3,-27.0,True,35.029969937586806
14,2026-07-20,6,DL1FX,JN49,49.729,8.542,N3AGE-4,FN30,40.938,-73.375,6154.0,1,-24.0,True,28.9906593200495
14,2026-07-20,6,HB9ZIC,JN47,47.521,8.458,OH6BG,KP03,63.021,21.375,1900.0,1,-20.0,True,90.66607701531339
14,2026-07-20,6,KB0EE,DN70,40.479,-105.042,KC2G,FN21,41.021,-74.125,2591.0,2,-13.0,True,52.453156345273044
14,2026-07-20,6,KH6EJ,BK29,19.479,-155.042,WA9WTK,FN42,42.438,-71.542,8041.0,1,-30.0,True,1.7726979772268532
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,ZL4KYH,RE78,-41.229,174.792,13608.0,1,-23.0,True,0.4387613827102368
14,2026-07-20,6,KG4LHC,EM85,35.938,-83.208,DK6UG,JN49,49.521,8.208,7151.0,2,-27.5,True,18.61063216422971
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,K3LR,EN91,41.188,-80.458,1755.0,6,-12.0,True,43.19647754247422
14,2026-07-20,6,G7KIA,IO93,53.812,-1.625,VK7JJ,QE38,-41.271,146.958,17308.0,2,-27.5,True,49.96155755086766
14,2026-07-20,6,OH5XO,KP41,61.021,28.208,DL7AUQ,JO63,53.312,12.875,1255.0,5,-6.2,True,80.7383848898509
14,2026-07-20,6,G3LRS,IO92,52.646,-1.208,LY3FF-11,KO25,55.021,24.625,1706.0,2,-6.5,True,87.31149957279494
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,YL3LJ,KO26,56.729,25.458,1393.0,7,-10.857142857142858,True,83.22573682846783
14,2026-07-20,6,K0PCG,EN31,41.479,-93.042,N0QDS,EN35,45.021,-93.458,395.0,1,-12.0,True,21.45533071486878
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,K0RAE/W,EN36,46.854,-93.958,1129.0,1,-30.0,True,34.11749701497971
14,2026-07-20,6,W0NKA,EN35,45.021,-92.875,WESSEX,IO80,50.729,-2.625,6330.0,2,-21.0,True,20.113683232900513
14,2026-07-20,6,DJ5MO,JO32,52.438,6.875,WESSEX,IO80,50.729,-2.625,683.0,7,-2.571428571428572,True,67.21044086701767
14,2026-07-20,6,SM7XGC,JO65,55.646,13.458,M9PSY-1,IO86,56.021,-3.375,1049.0,13,-17.076923076923077,True,74.58872917073538
14,2026-07-20,6,KZ4IK,FM08,38.354,-78.208,VE4DRK,EN19,49.854,-97.042,1964.0,2,-22.5,True,48.11764629913277
14,2026-07-20,6,081KXX,IL22,22.479,-15.042,WA2N,EM85,35.479,-83.042,6644.0,1,-18.0,True,8.326934098930181
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,VO1CBL,GN37,47.562,-53.542,4910.0,5,-13.2,True,55.08506590466482
