08, 03,   28.300,  51.1167,   7.2667,   174.73, -12.13,-148.37,   7.62,   0.00,   0.00,   0.00
08, 03,   29.700,  51.1167,   7.2667,   174.73, -12.13,-148.78,   7.77,   0.00,   0.00,   0.00
08, 04,    3.500,  51.1167,   7.2667,   174.73,  36.66, -81.43,  48.87,   0.00,   0.00,   0.00
08, 04,    5.300,  51.1167,   7.2667,   174.73,  19.41,-102.28,  36.98,   0.00,   0.00,   0.00
08, 04,    7.100,  51.1167,   7.2667,   174.73,   6.65,-117.57,  24.54,   0.00,   0.00,   0.00
08, 04,   10.100,  51.1167,   7.2667,   174.73,  -5.28,-132.57,  10.46,   0.00,   0.00,   0.00
08, 04,   14.100,  51.1167,   7.2667,   174.73, -11.56,-141.74,   6.17,   0.00,   0.00,   0.00
08, 04,   18.100,  51.1167,   7.2667,   174.73, -12.13,-144.48,   6.13,   0.00,   0.00,   0.00
08, 04,   21.100,  51.1167,   7.2667,   174.73, -12.12,-145.80,   6.71,   0.00,   0.00,   0.00
08, 04,   24.900,  51.1167,   7.2667,   174.73, -12.11,-147.23,   7.25,   0.00,   0.00,   0.00
08, 04,   28.300,  51.1167,   7.2667,   174.73, -12.10,-148.34,   7.65,   0.00,   0.00,   0.00
08, 04,   29.700,  51.1167,   7.2667,   174.73, -12.10,-148.75,   7.80,   0.00,   0.00,   0.00
08, 05,    3.500,  51.1167,   7.2667,   174.73,  35.63, -82.45,  47.93,   0.00,   0.00,   0.00
08, 05,    5.300,  51.1167,   7.2667,   174.73,  36.24, -85.44,  50.81,   0.00,   0.00,   0.00
08, 05,    7.100,  51.1167,   7.2667,   174.73,  11.34,-112.89,  30.44,   0.00,   0.00,   0.00
08, 05,   10.100,  51.1167,   7.2667,   174.73,  -1.25,-128.53,  15.55,   0.00,   0.00,   0.00
08, 05,   14.100,  51.1167,   7.2667,   174.73,  -9.89,-140.07,   7.87,   0.00,   0.00,   0.00
08, 05,   18.100,  51.1167,   7.2667,   174.73, -11.81,-144.17,   6.43,   0.00,   0.00,   0.00
08, 05,   21.100,  51.1167,   7.2667,   174.73, -11.77,-145.45,   7.06,   0.00,   0.00,   0.00
08, 05,   24.900,  51.1167,   7.2667,   174.73, -11.73,-146.86,   7.62,   0.00,   0.00,   0.00
08, 05,   28.300,  51.1167,   7.2667,   174.73, -11.71,-147.95,   8.03,   0.00,   0.00,   0.00
08, 05,   29.700,  51.1167,   7.2667,   174.73, -11.71,-148.36,   8.19,   0.00,   0.00,   0.00
08, 06,    3.500,  51.1167,   7.2667,   174.73,  32.29, -85.79,  44.67,   0.00,   0.00,   0.00
08, 06,    5.300,  51.1167,   7.2667,   174.73,  35.20, -86.48,  50.02,   0.00,   0.00,   0.00
08, 06,    7.100,  51.1167,   7.2667,   174.73,  16.55,-107.68,  35.20,   0.00,   0.00,   0.00
08, 06,   10.100,  51.1167,   7.2667,   174.73,   3.06,-124.22,  20.19,   0.00,   0.00,   0.00
08, 06,   14.100,  51.1167,   7.2667,   174.73,  -7.21,-137.39,  10.59,   0.00,   0.00,   0.00
08, 06,   18.100,  51.1167,   7.2667,   174.73, -11.36,-143.72,   7.62,   0.00,   0.00,   0.00
08, 06,   21.100,  51.1167,   7.2667,   174.73, -11.94,-145.62,   6.89,   0.00,   0.00,   0.00
08, 06,   24.900,  51.1167,   7.2667,   174.73, -11.85,-146.97,   7.51,   0.00,   0.00,   0.00
08, 06,   28.300,  51.1167,   7.2667,   174.73, -11.80,-148.03,   7.95,   0.00,   0.00,   0.00
08, 06,   29.700,  51.1167,   7.2667,   174.73, -11.78,-148.44,   8.11,   0.00,   0.00,   0.00
08, 07,    3.500,  51.1167,   7.2667,   174.73,  27.21, -90.87,  39.69,   0.00,   0.00,   0.00
08, 07,    5.300,  51.1167,   7.2667,   174.73,  33.01, -88.68,  46.68,   0.00,   0.00,   0.00
08, 07,    7.100,  51.1167,   7.2667,   174.73,  21.66,-102.56,  40.82,   0.00,   0.00,   0.00
08, 07,   10.100,  51.1167,   7.2667,   174.73,   6.19,-121.10,  26.22,   0.00,   0.00,   0.00
08, 07,   14.100,  51.1167,   7.2667,   174.73,  -4.59,-134.77,  13.24,   0.00,   0.00,   0.00
08, 07,   18.100,  51.1167,   7.2667,   174.73, -10.35,-142.71,   8.61,   0.00,   0.00,   0.00
08, 07,   21.100,  51.1167,   7.2667,   174.73, -11.85,-145.54,   6.96,   0.00,   0.00,   0.00
08, 07,   24.900,  51.1167,   7.2667,   174.73, -12.01,-147.14,   7.35,   0.00,   0.00,   0.00
08, 07,   28.300,  51.1167,   7.2667,   174.73, -11.92,-148.16,   7.83,   0.00,   0.00,   0.00
08, 07,   29.700,  51.1167,   7.2667,   174.73, -11.89,-148.55,   8.00,   0.00,   0.00,   0.00
08, 08,    3.500,  51.1167,   7.2667,   174.73,  24.27, -93.81,  36.80,   0.00,   0.00,   0.00
08, 08,    5.300,  51.1167,   7.2667,   174.73,  30.23, -91.45,  44.06,   0.00,   0.00,   0.00
08, 08,    7.100,  51.1167,   7.2667,   174.73,  32.92, -91.31,  49.05,   0.00,   0.00,   0.00
08, 08,   10.100,  51.1167,   7.2667,   174.73,   7.11,-120.17,  27.35,   0.00,   0.00,   0.00
08, 08,   14.100,  51.1167,   7.2667,   174.73,  -3.69,-133.87,  14.88,   0.00,   0.00,   0.00
08, 08,   18.100,  51.1167,   7.2667,   174.73, -10.06,-142.41,   8.87,   0.00,   0.00,   0.00
08, 08,   21.100,  51.1167,   7.2667,   174.73, -12.06,-145.75,   7.50,   0.00,   0.00,   0.00
08, 08,   24.900,  51.1167,   7.2667,   174.73, -12.60,-147.73,   6.75,   0.00,   0.00,   0.00
08, 08,   28.300,  51.1167,   7.2667,   174.73, -12.47,-148.71,   7.27,   0.00,   0.00,   0.00
08, 08,   29.700,  51.1167,   7.2667,   174.73, -12.43,-149.09,   7.46,   0.00,   0.00,   0.00
08, 09,    3.500,  51.1167,   7.2667,   174.73,  19.86, -98.22,  32.39,   0.00,   0.00,   0.00
